firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou,HomeDirectory,Manager,Name,Office,HomeDrive,ProfilePath
Madelief,M,Smets,Mad_Sme,Mad_Sme@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Directie,Pa$$w0rd,214-800-4101,Directeur,Aventus174376,"OU=Directie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Mad_Sme,,Madelief Smets,B02,Z:,\\DC174376\UserProfiles$\%Username%
Jolanda,J.L.B.,Brands,Jol_Bra,Jol_Bra@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Automatisering,Pa$$w0rd,214-800-4111,Adjunct-directeur,Aventus174376,"OU=Directie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Jol_Bra,Madelief Smets,Jolanda Brands,B20,Z:,\\DC174376\UserProfiles$\%Username%
Henk,H,Pell,Hen_Pel,Hen_Pel@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Verkoop,Pa$$w0rd,214-800-4131,Adjunct-directeur,Aventus174376,"OU=Directie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Hen_Pel,Madelief Smets,Henk Pell,B17,Z:,\\DC174376\UserProfiles$\%Username%
Teus,T,de Jong,Teu_Jon,Teu_Jon@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Administratie,Pa$$w0rd,214-800-4087,Adjunct-directeur,Aventus174376,"OU=Directie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Teu_Jon,Madelief Smets,Teus de Jong,B09,Z:,\\DC174376\UserProfiles$\%Username%
Dick,D.M.S.,Brinkman,Dic_Bri,Dic_Bri@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Productie,Pa$$w0rd,214-800-4612,Adjunct Productie,Aventus174376,"OU=Directie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Dic_Bri,Madelief Smets,Dick Brinkman,B05,Z:,\\DC174376\UserProfiles$\%Username%
Danique,D,Voss,Dan_Vos,Dan_Vos@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Staf,Pa$$w0rd,214-800-4003,Hoofd,Aventus174376,"OU=Staf,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Dan_Vos,Madelief Smets,Danique Voss,B03,Z:,\\DC174376\UserProfiles$\%Username%
Loes,L,Heijnen,Loe_Hei,Loe_Hei@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Staf,Pa$$w0rd,214-800-4001,Medewerker,Aventus174376,"OU=Staf,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Loe_Hei,Danique Voss,Loes Heijnen,B04,Z:,\\DC174376\UserProfiles$\%Username%
Wiel,W.N.N.,Nouwen,Wie_Nou,Wie_Nou@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Verkoop,Pa$$w0rd,214-800-4077,Medewerker,Aventus174376,"OU=Verkoop,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Wie_Nou,Henk Pell,Wiel Nouwen,B16,Z:,\\DC174376\UserProfiles$\%Username%
Dirk,D,Bogert,Dir_Bog,Dir_Bog@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Administratie,Pa$$w0rd,214-800-4142,Medewerker,Aventus174376,"OU=Administratie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Dir_Bog,Teus de Jong,Dirk Bogert,B11,Z:,\\DC174376\UserProfiles$\%Username%
Karin,K,Visse,Kar_Vis,Kar_Vis@Aventus174376.local,Laan van de Mensenrechten 500,Apeldoorn,7331 VZ,Gelderland,NL,Productie,Pa$$w0rd,214-800-4206,Medewerker,Aventus174376,"OU=Productie,OU=Afdelingen,DC=Aventus174376,DC=local",\\DC174376\HomeFolders$\Kar_Vis,Dick Brinkman,Karin Visse,B06,Z:,\\DC174376\UserProfiles$\%Username%
